name,x,y
681623158,-3.6181348,55.9723614
681623161,-3.6173006,55.9715646
681623163,-3.6163097,55.9718647
681623165,-3.6171582,55.9726748
683646440,-3.6160081,55.9680755
683646441,-3.6156717,55.9682611
683646444,-3.6149841,55.968433
683646448,-3.6156961,55.9690224
683646450,-3.6156863,55.9690689
683646460,-3.6213144,55.972226
683646462,-3.6197986,55.9721605
683646479,-3.6177244,55.9758163
683646481,-3.617712,55.9757338
683646483,-3.6166572,55.9754535
683646484,-3.6167592,55.9758839
683646486,-3.6145531,55.976344
683646487,-3.6149906,55.9762997
683646490,-3.6169535,55.9767471
683646492,-3.6139986,55.9763867
687142645,-3.6278447,55.9724983
687142647,-3.6264732,55.9721846
687142650,-3.6273782,55.9726537
687142652,-3.6271571,55.9729972
687142654,-3.6268418,55.9733802
687142657,-3.6255692,55.9733754
687142666,-3.6251486,55.9721069
687142667,-3.6247034,55.9732057
687142672,-3.6164043,55.9704307
687142673,-3.616095,55.9701091
691475165,-3.5981048,55.9705544
6951357516,-3.5829338,55.9826132
700350898,-3.5989201,55.9704283
700350901,-3.5991253,55.9707657
701192786,-3.6228006,55.9687099
701192791,-3.6230124,55.9686877
701192810,-3.6227701,55.9685726
701192858,-3.6215417,55.9689989
701192862,-3.6216543,55.969035
701192889,-3.6213593,55.969026
701192907,-3.6227272,55.9674288
701192922,-3.6227862,55.967699
701193010,-3.6222659,55.967714
701193012,-3.6221908,55.9678341
701193017,-3.622121,55.9676269
701194881,-3.6202066,55.968405
701194887,-3.6191673,55.9685984
701194890,-3.6189721,55.9686567
701194893,-3.6191062,55.9685276
701194898,-3.6204757,55.969084
701194899,-3.619986,55.9691611
701194900,-3.6199055,55.969065
701194908,-3.6200504,55.9692541
701197260,-3.6215256,55.9695003
701197261,-3.6213807,55.9692811
701197263,-3.6212144,55.9692962
701197267,-3.6214612,55.9691911
701197269,-3.6226176,55.9693963
701197273,-3.6227809,55.9697735
701197276,-3.6228613,55.9697885
701197278,-3.6226199,55.9697825
701197288,-3.6207088,55.9694804
701197295,-3.6207161,55.9701166
701197296,-3.6209194,55.9701968
701197298,-3.6208765,55.9700046
701197300,-3.6210169,55.9697249
701197308,-3.6230276,55.9692931
701197310,-3.6230652,55.9692061
701197311,-3.6232476,55.9693592
701207524,-3.6229793,55.9713405
701207534,-3.6228613,55.9712895
701207595,-3.6218153,55.9702148
701207602,-3.621885,55.9702898
701207630,-3.6216758,55.9701908
701207830,-3.6233206,55.9704052
701207833,-3.62321,55.9706651
701207838,-3.6233978,55.9708692
701207844,-3.6229579,55.9714366
701207882,-3.6239235,55.9710313
701207895,-3.6238376,55.9711154
