name,start_node,end_node,length_m,free_flow_speed_mps,jam_density,number_of_lanes,highway,oneway
tc_863401606_863401864_0,863401606,863401864,92.61007721528392,13.411200000000001,0.2,1,residential,False
tc_863401864_863401606_0,863401864,863401606,92.61007721528394,13.411200000000001,0.2,1,residential,False
tc_863401864_863401873_0,863401864,863401873,147.81092893938143,13.411200000000001,0.2,1,residential,False
tc_863401864_863402256_0,863401864,863402256,30.168422972544022,13.411200000000001,0.2,1,residential,False
tc_863401873_863401864_0,863401873,863401864,147.81092893938145,13.411200000000001,0.2,1,residential,False
tc_863402256_863401864_0,863402256,863401864,30.168422972544022,13.411200000000001,0.2,1,residential,False
tc_863402420_190531724_0,863402420,190531724,25.874432373399387,13.411200000000001,0.2,2,secondary,False
tc_863402420_190531728_0,863402420,190531728,21.48573222132217,13.411200000000001,0.2,2,secondary,False
tc_863402420_863403257_0,863402420,863403257,83.99172309319053,13.411200000000001,0.2,1,residential,False
tc_863403257_863402420_0,863403257,863402420,83.99172309319053,13.411200000000001,0.2,1,residential,False
tc_863403257_863403264_0,863403257,863403264,60.35648920173446,13.411200000000001,0.2,1,residential,False
tc_863403257_863404000_0,863403257,863404000,130.66931720907724,13.411200000000001,0.2,1,residential,False
tc_863403264_190531730_0,863403264,190531730,82.57769722501018,13.411200000000001,0.2,1,residential,False
tc_863403264_863403257_0,863403264,863403257,60.35648920173446,13.411200000000001,0.2,1,residential,False
tc_863403264_863404000_0,863403264,863404000,120.24776366231842,13.411200000000001,0.2,1,residential,False
tc_863404000_863403257_0,863404000,863403257,130.66931720907724,13.411200000000001,0.2,1,residential,False
tc_863404000_863403264_0,863404000,863403264,120.24776366231842,13.411200000000001,0.2,1,residential,False
tc_863404000_863404289_0,863404000,863404289,15.485057769556967,13.411200000000001,0.2,1,residential,False
tc_863404289_863404000_0,863404289,863404000,15.485057769556967,13.411200000000001,0.2,1,residential,False
tc_863404289_863404293_0,863404289,863404293,32.290625907763214,13.411200000000001,0.2,1,residential,False
tc_863404289_863404435_0,863404289,863404435,24.214634757136583,13.411200000000001,0.2,1,residential,False
tc_863404293_863404289_0,863404293,863404289,32.290625907763214,13.411200000000001,0.2,1,residential,False
tc_863404435_863404289_0,863404435,863404289,24.214634757136583,13.411200000000001,0.2,1,residential,False
tc_863404873_190531723_0,863404873,190531723,71.61811420508245,13.411200000000001,0.2,1,residential,False
tc_863404873_863404878_0,863404873,863404878,82.24860032822703,13.411200000000001,0.2,1,residential,False
tc_863404873_863404997_0,863404873,863404997,43.162705714399415,13.411200000000001,0.2,1,residential,False
